university,college,department,branch,min_grade
جامعة بغداد,كلية الطب,,علمي,101.41
جامعة بغداد,كلية طب الكندي,,علمي,100.77
جامعة النهرين,كلية الطب,,علمي,100.71
جامعة كربالء,كلية الطب,,علمي,100.66
جامعة بابل,كلية الطب,,علمي,100.57
جامعة الكوفة,كلية الطب,,علمي,100.57
جامعة الموصل,كلية طب الموصل,,علمي,100.57
جامعة كركوك,كلية الطب,,علمي,100.43
الجامعة المستنصرية,كلية الطب,,علمي,100.29
الجامعة العراقية,كلية الطب,,علمي,100.13
جامعة ابن سينا للعلوم الطبية والصيدالنية,كلية الطب,,علمي,100.1
جامعة ذي قار,كلية الطب,,علمي,100.04
جامعة جابر بن حيان للعلوم الطبية والصيدالنية,كلية الطب,,علمي,100.0
جامعة بابل,كلية طب حمورابي,,علمي,100.0
جامعة البصرة,كلية الطب,,علمي,99.86
جامعة المثنى,كلية الطب,ابناء المحافظة,علمي,99.86
جامعة الفلوجة,كلية الطب,,علمي,99.86
جامعة ديالى,كلية الطب,,علمي,99.86
جامعة واسط,كلية الطب,,علمي,99.86
جامعة القادسية,كلية الطب,,علمي,99.86
جامعة المثنى,كلية الطب,,علمي,99.83
جامعة النبار,كلية الطب,,علمي,99.71
جامعة نينوى,كلية الطب,,علمي,99.71
جامعة البصرة,كلية طب الزهراء,,علمي,99.71
جامعة ميسان,كلية الطب,,علمي,99.71
جامعة سومر,كلية الطب,,علمي,99.69
جامعة الموصل,كلية طب البتول,,علمي,99.57
جامعة تكريت,كلية الطب,,علمي,99.57
جامعة تكريت,كلية الطب,ابناء المحافظة,علمي,99.29
جامعة ميسان,كلية الطب,ابناء المحافظة,علمي,98.43
جامعة بغداد,كلية طب السنان,,علمي,99.43
جامعة ذي قار,كلية طب السنان,,علمي,99.29
جامعة الكوفة,كلية طب السنان,,علمي,99.29
الجامعة المستنصرية,كلية طب السنان,,علمي,99.28
جامعة البصرة,كلية طب السنان,,علمي,99.14
جامعة القادسية,كلية طب السنان,,علمي,99.0
جامعة ميسان,كلية طب السنان,,علمي,99.0
جامعة بابل,كلية طب السنان,,علمي,99.0
جامعة كربالء,كلية طب السنان,,علمي,99.0
الجامعة العراقية,كلية طب السنان,,علمي,99.0
جامعة كركوك,كلية طب السنان,,علمي,98.98
جامعة واسط,كلية طب السنان,,علمي,98.96
جامعة ابن سينا للعلوم الطبية والصيدالنية,كلية طب السنان,,علمي,98.86
جامعة المثنى,كلية طب السنان,,علمي,98.86
جامعة النبار,كلية طب السنان,,علمي,98.71
جامعة ديالى,كلية طب السنان,,علمي,98.71
جامعة الموصل,كلية طب السنان,,علمي,98.71
جامعة تكريت,كلية طب السنان,,علمي,98.67
جامعة ميسان,كلية طب السنان,ابناء المحافظة,علمي,97.86
جامعة بغداد,كلية الصيدلة,,علمي,99.14
جامعة الكوفة,كلية الصيدلة,,علمي,98.72
جامعة النهرين,كلية الصيدلة,,علمي,98.71
الجامعة المستنصرية,كلية الصيدلة,,علمي,98.63
جامعة البصرة,كلية الصيدلة,,علمي,98.57
جامعة جابر بن حيان للعلوم الطبية والصيدالنية,كلية الصيدلة,,علمي,98.57
جامعة ذي قار,كلية الصيدلة,,علمي,98.53
جامعة بابل,كلية الصيدلة,,علمي,98.51
جامعة كربالء,كلية الصيدلة,,علمي,98.51
جامعة القادسية,كلية الصيدلة,,علمي,98.48
